venue,count
Automation in Construction,12
arXiv,10
Reliability Engineering and System Safety,7
Buildings,5
Journal of Construction Engineering and Management,4
Computer-Aided Civil and Infrastructure Engineering,4
European Journal of Operational Research,2
Proceedings of the International Symposium on Automation and Robotics in Construction (IAARC/ISARC),2
Smart and Sustainable Built Environment,2
Advanced Engineering Informatics,2
International Journal of Construction Management,2
Expert Systems with Applications,2
Journal of Building Engineering,2
Computers & Industrial Engineering,2
International Journal of Production Research,2
"Engineering, Construction and Architectural Management",2
Applied Soft Computing,2
IEEE Access,2
Procedia Computer Science,1
Resources,1
