id,layer,rubric_B,rubric_E,gain_num,primary_objective,coding_confidence,is_preprint
C0006,L1,2,1,18.5,cost,full,0
C0035,L1,3,1,8.63,makespan,full,0
C0061,L1,1,0,11.5,cost,full,0
C0076,L1,2,1,19.6,makespan,full,0
C0088,L1,2,1,6.8,makespan,full,0
C0092,L1,2,2,1.4,makespan,full,0
C0095,L1,2,2,7.7,resource-utilization,full,0
C0229,L2,1,2,3.3,total-cost,full,1
C0261,L1,3,3,2.1,cost-overrun,full,0
C0264,L1,2,1,5.0,duration,full,0
C0270,L2,2,1,9.01,cost,full,0
C0300,L1,1,2,17.0,production-rate,partial,0
C0352,L3,1,0,27.8,life-cycle-maintenance-cost,full,0
C0375,L1,1,0,18.0,project-delay,full,0
C0398,L1,2,1,0.2,time,full,0
C0521,L1,0,0,28.9,dependency-accuracy,full,1
C0659,L1,2,1,8.3,makespan,full,0
C0713,L1,1,2,27.9,schedule-deviation,full,0
C0714,L1,2,1,10.0,makespan,full,0
C0728,L3,2,0,5.1,lifecycle-cost,full,0
C0730,L2,3,1,20.0,makespan,full,0
C0797,L1,2,0,10.0,construction-duration,full,0
C0802,L1,2,1,24.1,transportation time,full,0
C0874,L3,2,0,15.72,cost,partial,0
C0882,L1,0,0,30.9,resource-utilization,full,0
C0885,L1,2,0,5.7,construction-duration,full,0
C0965,L1,1,0,3.49,construction-duration,full,0
C0978,L2,3,2,8.66,makespan,full,0
C0998,L1,2,2,2.2,makespan,full,0
C1113,L2,2,0,33.6,tardiness,full,0
C1181,L1,1,1,47.0,delay,full,0
C1232,L2,1,1,34.4,production-time,full,0
C1321,L1,1,0,32.0,productivity,full,0
C1336,L2,2,1,16.3,total weighted earliness and tardiness,full,0
C1385,L1,0,1,32.5,duration,full,0
C1508,L3,2,0,31.91,carbon-emissions,full,0
C1610,L1,2,0,0.0,makespan,full,0
C1703,L1,2,0,2.8,project-duration,full,0
S0087,L3,2,2,29.75,risk-of-uninspected-infrastructure (expected failure loss),full,0
S0228,L1,1,1,6.0,overtime-reduction,full,0
S0229,L1,2,1,3.1,construction-duration,full,0
S0248,L3,2,2,6.0,resilience-LoR,full,1
S0260,L3,2,2,6.2,resilience,full,0
S0272,L3,1,0,10.0,safety,full,0
T0001,L3,1,0,8.75,maintenance-cost,full,0
T0032,L3,1,0,3.0,cost,full,0
